OBJECTID,SUBZONE_NO,SUBZONE_N,SUBZONE_C,CA_IND,PLN_AREA_N,PLN_AREA_C,REGION_N,REGION_C,INC_CRC,FMEL_UPD_D,SHAPE.AREA,SHAPE.LEN,area_sq_km,heritage_tree_count,heritage_trees_per_sq_km,hdb_building_count,heritage_trees_per_100_hdb_buildings,tree_proxy_warning
676,12,DEPOT ROAD,BMSZ12,N,BUKIT MERAH,BM,CENTRAL REGION,CR,C22DED671DE2A940,20191223152313,442297.50955582,4281.6672891471,0.4453,0,0.0,26,0.0,"Counts use NParks Heritage Trees as a legal point proxy, not all Singapore trees."
677,2,BUKIT MERAH,BMSZ02,N,BUKIT MERAH,BM,CENTRAL REGION,CR,085EF219A5A1AEAD,20191223152313,411722.83024252,3074.96323445995,0.4145,0,0.0,14,0.0,"Counts use NParks Heritage Trees as a legal point proxy, not all Singapore trees."
678,3,CHINATOWN,OTSZ03,Y,OUTRAM,OT,CENTRAL REGION,CR,EF2B9A91AF49E025,20191223152313,587222.67934411,4297.59989784309,0.5912,2,3.383,24,8.333,"Counts use NParks Heritage Trees as a legal point proxy, not all Singapore trees."
679,4,PHILLIP,DTSZ04,Y,DOWNTOWN CORE,DT,CENTRAL REGION,CR,615D4EDDEF809F8E,20191223152313,39437.93527025,871.554887795858,0.0397,0,0.0,0,,"Counts use NParks Heritage Trees as a legal point proxy, not all Singapore trees."
680,5,RAFFLES PLACE,DTSZ05,Y,DOWNTOWN CORE,DT,CENTRAL REGION,CR,72107B11807074F4,20191223152313,188767.489705965,1872.75216119823,0.19,0,0.0,0,,"Counts use NParks Heritage Trees as a legal point proxy, not all Singapore trees."
681,4,CHINA SQUARE,OTSZ04,Y,OUTRAM,OT,CENTRAL REGION,CR,B609DF5587626C8F,20191223152313,133006.9360119,1605.27969733802,0.1339,0,0.0,8,0.0,"Counts use NParks Heritage Trees as a legal point proxy, not all Singapore trees."
682,10,TIONG BAHRU,BMSZ10,N,BUKIT MERAH,BM,CENTRAL REGION,CR,A0FB4B68155D164A,20191223152313,448127.584441035,3303.21489952047,0.4511,1,2.217,96,1.042,"Counts use NParks Heritage Trees as a legal point proxy, not all Singapore trees."
683,12,BAYFRONT SUBZONE,DTSZ12,Y,DOWNTOWN CORE,DT,CENTRAL REGION,CR,197F5E664DA4D5E1,20191223152313,521200.52237653,2897.12642569071,0.5247,0,0.0,0,,"Counts use NParks Heritage Trees as a legal point proxy, not all Singapore trees."
684,4,TIONG BAHRU STATION,BMSZ04,N,BUKIT MERAH,BM,CENTRAL REGION,CR,91FFE927ABE3E4DB,20191223152313,350787.561421155,2506.68791910126,0.3532,0,0.0,47,0.0,"Counts use NParks Heritage Trees as a legal point proxy, not all Singapore trees."
685,6,CLIFFORD PIER,DTSZ06,Y,DOWNTOWN CORE,DT,CENTRAL REGION,CR,945CC212CA80626F,20191223152313,261843.89681611,2405.99092471241,0.2636,1,3.794,0,,"Counts use NParks Heritage Trees as a legal point proxy, not all Singapore trees."
686,1,MARINA SOUTH,MSSZ01,Y,MARINA SOUTH,MS,CENTRAL REGION,CR,67FE75A3AEF0E9CF,20191223152313,1630379.62789868,5267.05755898266,1.6414,0,0.0,0,,"Counts use NParks Heritage Trees as a legal point proxy, not all Singapore trees."
641,13,NICOLL,DTSZ13,Y,DOWNTOWN CORE,DT,CENTRAL REGION,CR,94E36ACCD57D0F01,20210910170416,614923.60017392,3613.26349408123,0.6191,0,0.0,0,,"Counts use NParks Heritage Trees as a legal point proxy, not all Singapore trees."
642,1,MARINA EAST,MESZ01,Y,MARINA EAST,ME,CENTRAL REGION,CR,4FB7E5B1B9455DE0,20191223152313,1844041.73808314,6470.94946823041,1.8565,0,0.0,0,,"Counts use NParks Heritage Trees as a legal point proxy, not all Singapore trees."
643,5,INSTITUTION HILL,RVSZ05,Y,RIVER VALLEY,RV,CENTRAL REGION,CR,C3C22D1EE31757BD,20191223152313,392563.339760415,2842.52550487629,0.3952,1,2.53,0,,"Counts use NParks Heritage Trees as a legal point proxy, not all Singapore trees."
644,1,ROBERTSON QUAY,SRSZ01,Y,SINGAPORE RIVER,SR,CENTRAL REGION,CR,87306ABAF4B67E2E,20191223152313,506588.959066285,4995.7579035481,0.51,0,0.0,0,,"Counts use NParks Heritage Trees as a legal point proxy, not all Singapore trees."
645,1,JURONG ISLAND AND BUKOM,WISZ01,N,WESTERN ISLANDS,WI,WEST REGION,WR,C87E378D3456FC35,20191223152313,36639387.1213671,67154.6997538746,36.8862,0,0.0,0,,"Counts use NParks Heritage Trees as a legal point proxy, not all Singapore trees."
646,2,FORT CANNING,MUSZ02,Y,MUSEUM,MU,CENTRAL REGION,CR,8E8F2616FFA9E019,20191223152313,388733.20297163,2630.43318811403,0.3914,15,38.324,0,,"Counts use NParks Heritage Trees as a legal point proxy, not all Singapore trees."
647,1,PEARL'S HILL,OTSZ01,Y,OUTRAM,OT,CENTRAL REGION,CR,ED2536F8ABCA2B36,20191223152313,561608.55967757,3521.96691981115,0.5654,1,1.769,21,4.762,"Counts use NParks Heritage Trees as a legal point proxy, not all Singapore trees."
648,3,BOAT QUAY,SRSZ03,Y,SINGAPORE RIVER,SR,CENTRAL REGION,CR,C35FEFF02B13E0E5,20191223152313,160807.497729235,1740.92576615503,0.1619,0,0.0,0,,"Counts use NParks Heritage Trees as a legal point proxy, not all Singapore trees."
649,8,HENDERSON HILL,BMSZ08,N,BUKIT MERAH,BM,CENTRAL REGION,CR,003CF156995CD34B,20191223152313,595246.72253225,3314.38768367395,0.5993,2,3.337,36,5.556,"Counts use NParks Heritage Trees as a legal point proxy, not all Singapore trees."
650,3,REDHILL,BMSZ03,N,BUKIT MERAH,BM,CENTRAL REGION,CR,C6B514E777179822,20191223152313,387611.59573991,2825.25475237324,0.3902,0,0.0,32,0.0,"Counts use NParks Heritage Trees as a legal point proxy, not all Singapore trees."
651,7,ALEXANDRA HILL,BMSZ07,N,BUKIT MERAH,BM,CENTRAL REGION,CR,9D286521EF5E3B59,20191223152313,1030378.78602971,4428.91343557513,1.0373,1,0.964,54,1.852,"Counts use NParks Heritage Trees as a legal point proxy, not all Singapore trees."
652,9,BUKIT HO SWEE,BMSZ09,N,BUKIT MERAH,BM,CENTRAL REGION,CR,203F8FCDF99869D8,20191223152313,551732.0530243,3275.31248637977,0.5555,0,0.0,58,0.0,"Counts use NParks Heritage Trees as a legal point proxy, not all Singapore trees."
653,2,CLARKE QUAY,SRSZ02,Y,SINGAPORE RIVER,SR,CENTRAL REGION,CR,E9518B8F24162258,20191223152313,290184.653959555,2208.61929915161,0.2921,0,0.0,0,,"Counts use NParks Heritage Trees as a legal point proxy, not all Singapore trees."
654,13,PASIR PANJANG 1,QTSZ13,N,QUEENSTOWN,QT,CENTRAL REGION,CR,1F721290C421BFAB,20191223152313,1084792.32058662,6571.32308201611,1.0921,0,0.0,0,,"Counts use NParks Heritage Trees as a legal point proxy, not all Singapore trees."
